date,time_point,species,focal,associates
2020-08-21,2,a-chimps,Robert,NA
2020-08-21,2,a-chimps,Sandra,NA
2020-08-21,2,a-chimps,Dorien,Riet
2020-08-21,2,a-chimps,Riet,Dorien
2020-08-21,2,a-chimps,Azibo,Frodo
2020-08-21,2,a-chimps,Azibo,Fraukje
2020-08-21,2,a-chimps,Fraukje,Frodo
2020-08-21,2,a-chimps,Fraukje,Azibo
2020-08-21,2,a-chimps,Maja,Frodo
2020-08-21,2,a-chimps,Maja,Robert
2020-08-21,2,a-chimps,Maja,Azibo
2020-08-21,2,a-chimps,Maja,Fraukje
2020-08-21,2,a-chimps,Maja,Azibo
2020-08-21,2,a-chimps,Maja,Shanga
2020-08-21,2,a-chimps,Swela,Dorien
2020-08-21,2,a-chimps,Shanga,Maja
2020-08-24,2,a-chimps,Natascha,NA
2020-08-24,3,a-chimps,Natascha,NA
2020-08-24,2,a-chimps,Robert,NA
2020-08-24,3,a-chimps,Robert,NA
2020-08-24,2,a-chimps,Maja,Kisha
2020-08-24,3,a-chimps,Maja,Kisha
2020-08-24,2,a-chimps,Maja,Ohini
2020-08-24,3,a-chimps,Maja,Ohini
2020-08-24,2,a-chimps,Maja,Frank
2020-08-24,3,a-chimps,Maja,Frank
2020-08-24,2,a-chimps,Kisha,Maja
2020-08-24,3,a-chimps,Kisha,Maja
2020-08-24,2,a-chimps,Kisha,Frank
2020-08-24,3,a-chimps,Kisha,Frank
2020-08-24,2,a-chimps,Shanga,NA
2020-08-24,3,a-chimps,Shanga,NA
2020-08-24,2,a-chimps,Riet,NA
2020-08-24,3,a-chimps,Riet,NA
2020-08-24,2,a-chimps,Dorien,NA
2020-08-24,3,a-chimps,Dorien,NA
2020-08-24,2,a-chimps,Sandra,NA
2020-08-24,3,a-chimps,Sandra,NA
2020-08-24,2,a-chimps,Frodo,NA
2020-08-24,3,a-chimps,Frodo,NA
2020-08-24,2,a-chimps,Fraukje,Carola
2020-08-24,3,a-chimps,Fraukje,Carola
2020-08-24,2,a-chimps,Makeni,Ohini
2020-08-24,3,a-chimps,Makeni,Ohini
2020-08-24,2,a-chimps,Swela,Azibo
2020-08-24,3,a-chimps,Swela,Azibo
2020-08-24,2,a-chimps,Azibo,Swela
2020-08-24,3,a-chimps,Azibo,Swela
