"SessionID","Configuration Name","Observer","DeviceID","Edited","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Subject Type","Focal Name","Group Count","All Occurrence Value","All Occurrence Behavior Social Modifier","All Occurrence Comment","Question: Observer_26","Question: Enclosure_27"
"13","LAAC Gorillas","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","No","2020-08-21 12:09:16","2020-08-21 12:11:12","2020-08-21 12:09:25","2020-08-21","12:09:25","2020","8","12","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Abeeku","","Socializing","","","Dami","outdoors"
"13","LAAC Gorillas","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","No","2020-08-21 12:09:16","2020-08-21 12:11:12","2020-08-21 12:09:56","2020-08-21","12:09:56","2020","8","12","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kumili","","Socializing","","","Dami","outdoors"
"13","LAAC Gorillas","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","No","2020-08-21 12:09:16","2020-08-21 12:11:12","2020-08-21 12:10:17","2020-08-21","12:10:17","2020","8","12","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Diara","","Socializing","","","Dami","outdoors"
"13","LAAC Gorillas","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","No","2020-08-21 12:09:16","2020-08-21 12:11:12","2020-08-21 12:10:23","2020-08-21","12:10:23","2020","8","12","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kio","","Socializing","","","Dami","outdoors"
"17","LAAC Gorillas","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","No","2020-08-24 12:07:48","2020-08-24 12:09:59","2020-08-24 12:08:10","2020-08-24","12:08:10","2020","8","12","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Abeeku","","Socializing","","","Lara","outdoors"
"17","LAAC Gorillas","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","No","2020-08-24 12:07:48","2020-08-24 12:09:59","2020-08-24 12:08:18","2020-08-24","12:08:18","2020","8","12","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Diara","","Socializing","","","Lara","outdoors"
"17","LAAC Gorillas","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","No","2020-08-24 12:07:48","2020-08-24 12:09:59","2020-08-24 12:09:26","2020-08-24","12:09:26","2020","8","12","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kibara","","Socializing","Kianga","","Lara","outdoors"
"17","LAAC Gorillas","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","No","2020-08-24 12:07:48","2020-08-24 12:09:59","2020-08-24 12:09:43","2020-08-24","12:09:43","2020","8","12","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kianga","","Socializing","Abeeku","","Lara","outdoors"
"22","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-25 13:10:22","2020-08-25 13:11:56","2020-08-25 13:10:24","2020-08-25","13:10:24","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Abeeku","","Socializing","","","Paul","outdoors"
"22","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-25 13:10:22","2020-08-25 13:11:56","2020-08-25 13:10:36","2020-08-25","13:10:36","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kumili","","Socializing","Kio","","Paul","outdoors"
"22","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-25 13:10:22","2020-08-25 13:11:56","2020-08-25 13:10:45","2020-08-25","13:10:45","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kio","","Socializing","Kumili","","Paul","outdoors"
"22","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-25 13:10:22","2020-08-25 13:11:56","2020-08-25 13:10:54","2020-08-25","13:10:54","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kibara","","Socializing","","","Paul","outdoors"
"22","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-25 13:10:22","2020-08-25 13:11:56","2020-08-25 13:11:46","2020-08-25","13:11:46","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Diara","","Socializing","","","Paul","outdoors"
"22","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-25 13:10:22","2020-08-25 13:11:56","2020-08-25 13:11:52","2020-08-25","13:11:52","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kianga","","Socializing","","","Paul","outdoors"
"27","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-26 13:03:44","2020-08-26 13:04:25","2020-08-26 13:03:47","2020-08-26","13:03:47","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Abeeku","","Socializing","","","Lara","outdoors"
"27","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-26 13:03:44","2020-08-26 13:04:25","2020-08-26 13:03:54","2020-08-26","13:03:54","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kibara","","Socializing","Kianga","","Lara","outdoors"
"27","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-26 13:03:44","2020-08-26 13:04:25","2020-08-26 13:03:59","2020-08-26","13:03:59","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kumili","","Socializing","Kio","","Lara","outdoors"
"27","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-26 13:03:44","2020-08-26 13:04:25","2020-08-26 13:04:08","2020-08-26","13:04:08","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Diara","","Socializing","","","Lara","outdoors"
"27","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-26 13:03:44","2020-08-26 13:04:25","2020-08-26 13:04:12","2020-08-26","13:04:12","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kianga","","Socializing","Kibara","","Lara","outdoors"
"27","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-26 13:03:44","2020-08-26 13:04:25","2020-08-26 13:04:18","2020-08-26","13:04:18","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kio","","Socializing","Kumili","","Lara","outdoors"
"34","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-27 13:53:50","2020-08-27 13:54:41","2020-08-27 13:53:54","2020-08-27","13:53:54","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Abeeku","","Socializing","","","Hanna","outdoors"
"34","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-27 13:53:50","2020-08-27 13:54:41","2020-08-27 13:54:04","2020-08-27","13:54:04","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kibara","","Socializing","","","Hanna","outdoors"
"34","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-27 13:53:50","2020-08-27 13:54:41","2020-08-27 13:54:14","2020-08-27","13:54:14","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kumili","","Socializing","","","Hanna","outdoors"
"34","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-27 13:53:50","2020-08-27 13:54:41","2020-08-27 13:54:24","2020-08-27","13:54:24","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Diara","","Invisible","","","Hanna","outdoors"
"34","LAAC Gorillas","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","No","2020-08-27 13:53:50","2020-08-27 13:54:41","2020-08-27 13:54:33","2020-08-27","13:54:33","2020","8","13","Abeeku,Kibara,Kumili,Diara,Kianga,Kio","20.00","","600x600","","All Occurrence","Individual","Kianga","","Invisible","","","Hanna","outdoors"
