"files"	"paramHeader"	"param"	"population"	"average"	"average_se"	"population_sd"	"mse"	"cover_95"	"kind"	"peb"	"seb"	"bias"	"abs_bias"	"abs_diff_sd_se"	"diff_sd_se"	"ratio_sd_se"
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SY1"	2.207	1.9131	0.6396	0.6159	0.4652	0.905	"S covariance"	0.1332	0.0385	-0.2939	0.2939	0.0237	0.0237	1.0385
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SY3"	2.183	1.8759	0.6268	0.5945	0.4474	0.887	"S covariance"	0.1407	0.0543	-0.3071	0.3071	0.0323	0.0323	1.0543
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SY4"	3.256	2.849	0.9181	0.8703	0.9224	0.907	"S covariance"	0.125	0.0549	-0.407	0.407	0.0478	0.0478	1.0549
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SY5"	2.118	1.8952	0.638	0.616	0.4287	0.91	"S covariance"	0.1052	0.0357	-0.2228	0.2228	0.022	0.022	1.0357
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SY6"	1.954	1.7227	0.5806	0.5462	0.3517	0.915	"S covariance"	0.1184	0.063	-0.2313	0.2313	0.0344	0.0344	1.063
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SY7"	2.634	2.3398	0.7829	0.7491	0.647	0.918	"S covariance"	0.1117	0.0451	-0.2942	0.2942	0.0338	0.0338	1.0451
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SY8"	2.24	1.976	0.6494	0.6092	0.4404	0.923	"S covariance"	0.1179	0.066	-0.264	0.264	0.0402	0.0402	1.066
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SY9"	2.299	2.0542	0.6789	0.6544	0.4878	0.922	"S covariance"	0.1065	0.0374	-0.2448	0.2448	0.0245	0.0245	1.0374
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SX1"	0.498	0.4689	0.5092	0.473	0.2244	0.941	"S covariance"	0.0584	0.0765	-0.0291	0.0291	0.0362	0.0362	1.0765
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SX2"	0.166	0.1558	0.536	0.4999	0.2498	0.945	"S covariance"	0.0614	0.0722	-0.0102	0.0102	0.0361	0.0361	1.0722
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SX3"	0.819	0.7029	0.5409	0.5025	0.2656	0.938	"S covariance"	0.1418	0.0764	-0.1161	0.1161	0.0384	0.0384	1.0764
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SX4"	0.452	0.4012	0.5379	0.5038	0.2561	0.937	"S covariance"	0.1124	0.0677	-0.0508	0.0508	0.0341	0.0341	1.0677
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SX5"	0.345	0.3101	0.5581	0.5121	0.2632	0.949	"S covariance"	0.1012	0.0898	-0.0349	0.0349	0.046	0.046	1.0898
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SX6"	1.018	0.8756	0.6068	0.5592	0.3325	0.941	"S covariance"	0.1399	0.0851	-0.1424	0.1424	0.0476	0.0476	1.0851
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SX7"	1.126	0.9834	0.6219	0.5761	0.3519	0.945	"S covariance"	0.1266	0.0795	-0.1426	0.1426	0.0458	0.0458	1.0795
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SX8"	1.131	1.0223	0.6419	0.6022	0.3742	0.942	"S covariance"	0.0961	0.0659	-0.1087	0.1087	0.0397	0.0397	1.0659
"Latent State 2 constructs T 9 free S var"	"SY2.WITH"	"SX9"	1.05	0.923	0.6192	0.5966	0.3717	0.922	"S covariance"	0.121	0.0379	-0.127	0.127	0.0226	0.0226	1.0379
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SY1"	1.914	1.618	0.5552	0.5375	0.3762	0.893	"S covariance"	0.1546	0.0329	-0.296	0.296	0.0177	0.0177	1.0329
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SY4"	2.831	2.4116	0.7964	0.7649	0.7604	0.896	"S covariance"	0.1481	0.0412	-0.4194	0.4194	0.0315	0.0315	1.0412
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SY5"	1.79	1.5991	0.5535	0.5282	0.3153	0.912	"S covariance"	0.1066	0.0479	-0.1909	0.1909	0.0253	0.0253	1.0479
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SY6"	1.679	1.4499	0.5044	0.4794	0.2823	0.909	"S covariance"	0.1365	0.0521	-0.2291	0.2291	0.025	0.025	1.0521
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SY7"	2.26	2.0241	0.6862	0.6705	0.5049	0.913	"S covariance"	0.1044	0.0234	-0.2359	0.2359	0.0157	0.0157	1.0234
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SY8"	1.883	1.6404	0.559	0.5184	0.3271	0.919	"S covariance"	0.1288	0.0783	-0.2426	0.2426	0.0406	0.0406	1.0783
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SY9"	1.9	1.7191	0.5849	0.5619	0.3481	0.921	"S covariance"	0.0952	0.0409	-0.1809	0.1809	0.023	0.023	1.0409
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SX1"	0.216	0.1773	0.4476	0.4172	0.1753	0.944	"S covariance"	0.1792	0.0729	-0.0387	0.0387	0.0304	0.0304	1.0729
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SX2"	-0.14	-0.1389	0.4777	0.4463	0.199	0.947	"S covariance"	0.0079	0.0704	0.0011	0.0011	0.0314	0.0314	1.0704
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SX3"	0.258	0.2846	0.4684	0.4384	0.1927	0.938	"S covariance"	0.1031	0.0684	0.0266	0.0266	0.03	0.03	1.0684
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SX4"	0.098	0.0696	0.4742	0.4463	0.1998	0.938	"S covariance"	0.2898	0.0625	-0.0284	0.0284	0.0279	0.0279	1.0625
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SX5"	-0.024	-0.0272	0.4941	0.4556	0.2074	0.951	"S covariance"	0.1333	0.0845	-0.0032	0.0032	0.0385	0.0385	1.0845
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SX6"	0.582	0.4618	0.5262	0.4885	0.2529	0.941	"S covariance"	0.2065	0.0772	-0.1202	0.1202	0.0377	0.0377	1.0772
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SX7"	0.642	0.531	0.536	0.497	0.2589	0.945	"S covariance"	0.1729	0.0785	-0.111	0.111	0.039	0.039	1.0785
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SX8"	0.654	0.5753	0.5545	0.5185	0.2748	0.947	"S covariance"	0.1203	0.0694	-0.0787	0.0787	0.036	0.036	1.0694
"Latent State 2 constructs T 9 free S var"	"SY3.WITH"	"SX9"	0.61	0.503	0.5363	0.5163	0.2779	0.933	"S covariance"	0.1754	0.0387	-0.107	0.107	0.02	0.02	1.0387
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SY1"	2.78	2.413	0.8026	0.777	0.738	0.911	"S covariance"	0.132	0.0329	-0.367	0.367	0.0256	0.0256	1.0329
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SY5"	2.896	2.4982	0.8221	0.7898	0.7813	0.902	"S covariance"	0.1374	0.0409	-0.3978	0.3978	0.0323	0.0323	1.0409
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SY6"	2.635	2.2494	0.7442	0.7135	0.6572	0.893	"S covariance"	0.1463	0.043	-0.3856	0.3856	0.0307	0.0307	1.043
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SY7"	3.575	3.0973	1.0132	0.9924	1.2117	0.897	"S covariance"	0.1336	0.021	-0.4777	0.4777	0.0208	0.0208	1.021
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SY8"	2.952	2.5416	0.8266	0.7694	0.7597	0.906	"S covariance"	0.139	0.0743	-0.4104	0.4104	0.0572	0.0572	1.0743
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SY9"	2.956	2.6359	0.8617	0.8421	0.8106	0.918	"S covariance"	0.1083	0.0233	-0.3201	0.3201	0.0196	0.0196	1.0233
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SX1"	0.601	0.5249	0.6279	0.5801	0.342	0.939	"S covariance"	0.1266	0.0824	-0.0761	0.0761	0.0478	0.0478	1.0824
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SX2"	-0.005	0.0338	0.6612	0.6175	0.3824	0.949	"S covariance"	7.76	0.0708	0.0388	0.0388	0.0437	0.0437	1.0708
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SX3"	0.731	0.7025	0.6608	0.6296	0.3968	0.938	"S covariance"	0.039	0.0496	-0.0285	0.0285	0.0312	0.0312	1.0496
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SX4"	0.375	0.3529	0.6612	0.6286	0.3952	0.933	"S covariance"	0.0589	0.0519	-0.0221	0.0221	0.0326	0.0326	1.0519
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SX5"	0.192	0.2085	0.6864	0.6323	0.3997	0.943	"S covariance"	0.0859	0.0856	0.0165	0.0165	0.0541	0.0541	1.0856
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SX6"	1.073	0.9341	0.7421	0.6949	0.5016	0.929	"S covariance"	0.1295	0.0679	-0.1389	0.1389	0.0472	0.0472	1.0679
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SX7"	1.204	1.074	0.7601	0.7101	0.5206	0.941	"S covariance"	0.108	0.0704	-0.13	0.13	0.05	0.05	1.0704
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SX8"	1.361	1.1903	0.7901	0.7525	0.5948	0.928	"S covariance"	0.1254	0.05	-0.1707	0.1707	0.0376	0.0376	1.05
"Latent State 2 constructs T 9 free S var"	"SY4.WITH"	"SX9"	1.195	1.0333	0.7597	0.7347	0.5654	0.932	"S covariance"	0.1353	0.034	-0.1617	0.1617	0.025	0.025	1.034
"Latent State 2 constructs T 9 free S var"	"SY5.WITH"	"SY1"	1.717	1.5732	0.5552	0.5389	0.3109	0.925	"S covariance"	0.0838	0.0302	-0.1438	0.1438	0.0163	0.0163	1.0302
"Latent State 2 constructs T 9 free S var"	"SY5.WITH"	"SY6"	1.805	1.5396	0.5273	0.5013	0.3212	0.894	"S covariance"	0.147	0.0519	-0.2654	0.2654	0.026	0.026	1.0519
"Latent State 2 constructs T 9 free S var"	"SY5.WITH"	"SY7"	2.576	2.1703	0.7253	0.7204	0.6832	0.881	"S covariance"	0.1575	0.0068	-0.4057	0.4057	0.0049	0.0049	1.0068
"Latent State 2 constructs T 9 free S var"	"SY5.WITH"	"SY8"	1.991	1.7223	0.5813	0.5561	0.3813	0.915	"S covariance"	0.135	0.0453	-0.2687	0.2687	0.0252	0.0252	1.0453
"Latent State 2 constructs T 9 free S var"	"SY5.WITH"	"SY9"	2.013	1.7909	0.6067	0.5899	0.3969	0.925	"S covariance"	0.1103	0.0285	-0.2221	0.2221	0.0168	0.0168	1.0285
"Latent State 2 constructs T 9 free S var"	"SY5.WITH"	"SX1"	0.483	0.3502	0.4651	0.4547	0.2242	0.92	"S covariance"	0.2749	0.0229	-0.1328	0.1328	0.0104	0.0104	1.0229
"Latent State 2 constructs T 9 free S var"	"SY5.WITH"	"SX2"	-0.112	-0.067	0.4909	0.4737	0.2262	0.932	"S covariance"	0.4018	0.0363	0.045	0.045	0.0172	0.0172	1.0363
"Latent State 2 constructs T 9 free S var"	"SY5.WITH"	"SX3"	0.416	0.3936	0.4853	0.4672	0.2186	0.935	"S covariance"	0.0538	0.0387	-0.0224	0.0224	0.0181	0.0181	1.0387
"Latent State 2 constructs T 9 free S var"	"SY5.WITH"	"SX4"	0.203	0.1705	0.4889	0.4747	0.2262	0.927	"S covariance"	0.1601	0.0299	-0.0325	0.0325	0.0142	0.0142	1.0299
"Latent State 2 constructs T 9 free S var"	"SY5.WITH"	"SX5"	-0.009	0.0342	0.5088	0.4827	0.2346	0.932	"S covariance"	4.8	0.0541	0.0432	0.0432	0.0261	0.0261	1.0541
"Latent State 2 constructs T 9 free S var"	"SY5.WITH"	"SX6"	0.503	0.5089	0.5427	0.5232	0.2735	0.943	"S covariance"	0.0117	0.0373	0.0059	0.0059	0.0195	0.0195	1.0373
"Latent State 2 constructs T 9 free S var"	"SY5.WITH"	"SX7"	0.663	0.6233	0.555	0.5334	0.2858	0.93	"S covariance"	0.0599	0.0405	-0.0397	0.0397	0.0216	0.0216	1.0405
"Latent State 2 constructs T 9 free S var"	"SY5.WITH"	"SX8"	0.948	0.7719	0.5807	0.5754	0.3617	0.918	"S covariance"	0.1858	0.0092	-0.1761	0.1761	0.0053	0.0053	1.0092
"Latent State 2 constructs T 9 free S var"	"SY5.WITH"	"SX9"	0.679	0.6095	0.5557	0.5468	0.3035	0.935	"S covariance"	0.1024	0.0163	-0.0695	0.0695	0.0089	0.0089	1.0163
"Latent State 2 constructs T 9 free S var"	"SY6.WITH"	"SY1"	1.622	1.4348	0.5066	0.4807	0.2659	0.925	"S covariance"	0.1154	0.0539	-0.1872	0.1872	0.0259	0.0259	1.0539
