time_point,group,subject,rank,rearing,sex,age,task,trial_time_point,code
1,bonobo,joey,8,hand,m,37.68377823408624,gaze_following,1,1
1,bonobo,joey,8,hand,m,37.68377823408624,gaze_following,2,1
1,bonobo,joey,8,hand,m,37.68377823408624,inference,1,0
1,bonobo,joey,8,hand,m,37.68377823408624,causality,1,1
1,bonobo,joey,8,hand,m,37.68377823408624,inference,2,0
1,bonobo,joey,8,hand,m,37.68377823408624,causality,2,1
1,bonobo,joey,8,hand,m,37.68377823408624,inference,3,0
1,bonobo,joey,8,hand,m,37.68377823408624,causality,3,1
1,bonobo,joey,8,hand,m,37.68377823408624,causality,4,1
1,bonobo,joey,8,hand,m,37.68377823408624,inference,4,0
1,bonobo,joey,8,hand,m,37.68377823408624,inference,5,0
1,bonobo,joey,8,hand,m,37.68377823408624,causality,5,1
1,bonobo,joey,8,hand,m,37.68377823408624,causality,6,1
1,bonobo,joey,8,hand,m,37.68377823408624,inference,6,0
1,bonobo,joey,8,hand,m,37.68377823408624,causality,7,1
1,bonobo,joey,8,hand,m,37.68377823408624,causality,8,1
1,bonobo,joey,8,hand,m,37.68377823408624,inference,7,0
1,bonobo,joey,8,hand,m,37.68377823408624,inference,8,0
1,bonobo,joey,8,hand,m,37.68377823408624,causality,9,1
1,bonobo,joey,8,hand,m,37.68377823408624,inference,9,0
1,bonobo,joey,8,hand,m,37.68377823408624,causality,10,1
1,bonobo,joey,8,hand,m,37.68377823408624,causality,11,1
1,bonobo,joey,8,hand,m,37.68377823408624,inference,10,0
1,bonobo,joey,8,hand,m,37.68377823408624,inference,11,0
1,bonobo,joey,8,hand,m,37.68377823408624,causality,12,1
1,bonobo,joey,8,hand,m,37.68377823408624,inference,12,0
1,bonobo,joey,8,hand,m,37.68377823408624,gaze_following,3,0
1,bonobo,joey,8,hand,m,37.68377823408624,gaze_following,4,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,gaze_following,1,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,gaze_following,2,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,inference,1,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,causality,1,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,inference,2,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,causality,2,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,inference,3,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,causality,3,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,causality,4,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,inference,4,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,inference,5,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,causality,5,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,causality,6,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,inference,6,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,causality,7,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,causality,8,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,inference,7,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,inference,8,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,causality,9,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,inference,9,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,causality,10,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,causality,11,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,inference,10,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,inference,11,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,causality,12,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,inference,12,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,gaze_following,3,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,gaze_following,4,1
1,bonobo,yaro,5,mother,m,7.337440109514032,gaze_following,1,1
1,bonobo,yaro,5,mother,m,7.337440109514032,gaze_following,2,0
1,bonobo,yaro,5,mother,m,7.337440109514032,inference,1,1
1,bonobo,yaro,5,mother,m,7.337440109514032,causality,1,1
1,bonobo,yaro,5,mother,m,7.337440109514032,inference,2,1
1,bonobo,yaro,5,mother,m,7.337440109514032,causality,2,0
1,bonobo,yaro,5,mother,m,7.337440109514032,inference,3,1
1,bonobo,yaro,5,mother,m,7.337440109514032,causality,3,1
1,bonobo,yaro,5,mother,m,7.337440109514032,causality,4,1
1,bonobo,yaro,5,mother,m,7.337440109514032,inference,4,1
1,bonobo,yaro,5,mother,m,7.337440109514032,inference,5,0
1,bonobo,yaro,5,mother,m,7.337440109514032,causality,5,0
1,bonobo,yaro,5,mother,m,7.337440109514032,causality,6,0
1,bonobo,yaro,5,mother,m,7.337440109514032,inference,6,1
1,bonobo,yaro,5,mother,m,7.337440109514032,causality,7,1
1,bonobo,yaro,5,mother,m,7.337440109514032,causality,8,0
1,bonobo,yaro,5,mother,m,7.337440109514032,inference,7,1
1,bonobo,yaro,5,mother,m,7.337440109514032,inference,8,1
1,bonobo,yaro,5,mother,m,7.337440109514032,causality,9,0
1,bonobo,yaro,5,mother,m,7.337440109514032,inference,9,1
1,bonobo,yaro,5,mother,m,7.337440109514032,causality,10,1
1,bonobo,yaro,5,mother,m,7.337440109514032,causality,11,1
1,bonobo,yaro,5,mother,m,7.337440109514032,inference,10,0
1,bonobo,yaro,5,mother,m,7.337440109514032,inference,11,0
1,bonobo,yaro,5,mother,m,7.337440109514032,causality,12,1
1,bonobo,yaro,5,mother,m,7.337440109514032,inference,12,1
1,bonobo,yaro,5,mother,m,7.337440109514032,gaze_following,3,1
1,bonobo,yaro,5,mother,m,7.337440109514032,gaze_following,4,0
1,bonobo,lexi,1,hand,f,20.933607118412045,gaze_following,1,1
1,bonobo,lexi,1,hand,f,20.933607118412045,gaze_following,2,1
1,bonobo,lexi,1,hand,f,20.933607118412045,inference,1,0
1,bonobo,lexi,1,hand,f,20.933607118412045,causality,1,1
1,bonobo,lexi,1,hand,f,20.933607118412045,inference,2,0
1,bonobo,lexi,1,hand,f,20.933607118412045,causality,2,1
1,bonobo,lexi,1,hand,f,20.933607118412045,inference,3,0
1,bonobo,lexi,1,hand,f,20.933607118412045,causality,3,1
1,bonobo,lexi,1,hand,f,20.933607118412045,causality,4,1
1,bonobo,lexi,1,hand,f,20.933607118412045,inference,4,0
1,bonobo,lexi,1,hand,f,20.933607118412045,inference,5,0
1,bonobo,lexi,1,hand,f,20.933607118412045,causality,5,1
1,bonobo,lexi,1,hand,f,20.933607118412045,causality,6,1
1,bonobo,lexi,1,hand,f,20.933607118412045,inference,6,0
1,bonobo,lexi,1,hand,f,20.933607118412045,causality,7,1
1,bonobo,lexi,1,hand,f,20.933607118412045,causality,8,1
1,bonobo,lexi,1,hand,f,20.933607118412045,inference,7,0
1,bonobo,lexi,1,hand,f,20.933607118412045,inference,8,0
1,bonobo,lexi,1,hand,f,20.933607118412045,causality,9,1
1,bonobo,lexi,1,hand,f,20.933607118412045,inference,9,0
1,bonobo,lexi,1,hand,f,20.933607118412045,causality,10,1
1,bonobo,lexi,1,hand,f,20.933607118412045,causality,11,1
1,bonobo,lexi,1,hand,f,20.933607118412045,inference,10,0
1,bonobo,lexi,1,hand,f,20.933607118412045,inference,11,0
1,bonobo,lexi,1,hand,f,20.933607118412045,causality,12,1
1,bonobo,lexi,1,hand,f,20.933607118412045,inference,12,0
1,bonobo,lexi,1,hand,f,20.933607118412045,gaze_following,3,0
1,bonobo,lexi,1,hand,f,20.933607118412045,gaze_following,4,0
1,bonobo,luiza,3,mother,f,15.55920602327173,gaze_following,1,1
1,bonobo,luiza,3,mother,f,15.55920602327173,gaze_following,2,0
1,bonobo,luiza,3,mother,f,15.55920602327173,inference,1,1
1,bonobo,luiza,3,mother,f,15.55920602327173,causality,1,1
1,bonobo,luiza,3,mother,f,15.55920602327173,inference,2,0
1,bonobo,luiza,3,mother,f,15.55920602327173,causality,2,1
1,bonobo,luiza,3,mother,f,15.55920602327173,inference,3,1
1,bonobo,luiza,3,mother,f,15.55920602327173,causality,3,1
1,bonobo,luiza,3,mother,f,15.55920602327173,causality,4,1
1,bonobo,luiza,3,mother,f,15.55920602327173,gaze_following,3,0
1,bonobo,luiza,3,mother,f,15.55920602327173,gaze_following,4,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,gaze_following,5,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,gaze_following,6,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,quantity,1,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,quantity,2,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,quantity,3,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,quantity,4,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,quantity,5,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,quantity,6,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,quantity,7,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,quantity,8,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,quantity,9,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,quantity,10,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,quantity,11,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,quantity,12,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,switching_place,1,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,switching_place,2,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,switching_place,3,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,switching_place,4,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,switching_feature,1,0
1,bonobo,jasongo,7,mother,m,30.04791238877481,switching_feature,2,1
1,bonobo,jasongo,7,mother,m,30.04791238877481,switching_feature,3,0
